Subject,RAN.Object..s.,RAN.Digit..s.,RAN.Color..s.,RAN.Total..s.,RAN.Average..s.,Corsi.Block.Span,Stop.signal.delay..ms.,Stop.signal.response.time..ms.,RT.to.go.trials..ms.,OPT.Score,Native.Language,Age,AoO,VWP.Control.Correct,VWP.Easy.Correct,VWP.Hard.Correct,total.missed,WM.Easy.Correct,WM.Hard.Correct,Direction
sub_1,28.19,13.68,23.55,65.42,21.81,7,228,248,496,88,German,25,10,1.000,1.000,1.000,0.000,0.875,0.600,descending
sub_10,22.03,13.33,27.14,62.50,20.83,6,248,229,500,74,Persian,26,12,0.875,0.875,1.000,4.000,0.813,0.875,ascending
sub_11,23.78,15.83,23.88,63.49,21.16,7,176,241,441,54,Azerbaijani,22,7,0.938,1.000,0.938,2.000,1.000,0.313,descending
sub_12,20.18,12.05,22.63,54.86,18.29,6,286,300,591,76,Hindi,25,6,1.000,1.000,1.000,0.000,0.750,0.750,ascending
sub_13,26.1,12.87,23.82,62.79,20.93,7,312,205,565,88,Hindi,24,4,0.938,1.000,1.000,1.000,0.813,0.563,descending
sub_14,26.5,16.09,19.22,61.81,20.60,6,180,262,459,70,Turkish,23,10,1.000,1.000,1.000,0.000,0.938,0.875,ascending
sub_15,22.72,15.79,21.97,60.48,20.16,6,205,224,441,70,Persian,26,9,1.000,1.000,0.813,3.000,0.875,0.438,descending
sub_17,16.63,11.84,17.63,46.10,15.37,6,177,205,394,54,Turkish,26,6,0.938,0.875,0.938,4.000,0.938,0.500,descending
sub_18,23.14,11.53,21.35,56.02,18.67,5,345,201,555,68,Turkish,24,6,1.000,0.938,1.000,1.000,0.813,0.500,ascending
sub_19,19.25,19.57,23.35,62.17,20.72,6,339,225,567,82,Persian,29,10,1.000,1.000,1.000,0.000,1.000,0.875,descending
sub_2,26.23,13.06,24.93,64.22,21.41,7,183,265,482,88,Persian,32,7,1.000,0.938,1.000,1.000,0.750,0.875,ascending
sub_20,25.87,13.39,30.74,70.00,23.33,7,123,242,373,68,Turkish,27,13,0.938,1.000,0.875,3.000,0.875,0.875,ascending
sub_21,31.49,23.38,26.89,81.76,27.25,6,753,156,908,72,Persian,50,14,0.938,0.938,0.875,4.000,1.000,0.438,descending
sub_22,18.67,10.42,18.21,47.30,15.77,5,181,242,434,86,Malayalam,24,3,1.000,1.000,1.000,0.000,1.000,0.875,ascending
sub_23,22.49,11.3,18.58,52.37,17.46,6,154,244,404,72,Marathi,23,14,1.000,1.000,1.000,0.000,0.938,0.750,descending
sub_24,20.63,12.32,24.18,57.13,19.04,5,348,212,569,54,Malayalam,29,11,1.000,1.000,1.000,0.000,0.938,0.500,ascending
sub_25,25.38,14.33,25.82,65.53,21.84,6,273,189,501,74,Malayalam,24,4,1.00,1.00,1.00,0.00,0.938,0.438,descending
sub_26,20.17,14.53,26.77,61.47,20.49,6,219,221,455,80,Malayalam,24,4,1.000,1.000,1.000,0.000,0.938,0.938,ascending
sub_27,21.43,12.45,18.46,52.34,17.45,6,162,230,399,90,Portuguese,22,7,1.000,1.000,0.938,1.000,1.000,0.750,descending
sub_28,19.28,14.52,22.66,56.46,18.82,5,216,228,462,76,Turkish,22,5,1.000,1.000,1.000,0.000,1.000,0.938,ascending
sub_3,23.94,9.54,19.67,53.15,17.72,6,347,197,587,92,Egyptian Arabic,25,4,1.000,1.000,1.000,0.000,1.000,0.769,descending
sub_4,20.97,11.4,20.42,52.79,17.60,5,111,277,390,90,Egyptian Arabic,34,5,1.000,1.000,0.938,1.000,0.625,0.188,ascending
sub_5,22.13,18.57,28.08,68.78,22.93,6,194,209,439,68,Ukrainian,25,5,0.938,1.000,1.000,1.000,0.929,0.500,descending
sub_9,20.82,13.44,19.56,53.82,17.94,7,97,255,360,82,Turkish,26,7,1.000,1.000,1.000,0.000,0.938,0.750,descending
sub_29,19.36,12.73,18.88,50.97,16.99,7,212,209,473,70,Persian,22,7,1.000,1.000,1.000,0.000,0.625,0.188,descending
sub_30,15.84,11.06,15.84,42.74,14.25,6,468,210,647,84,Persian,24,4,1.000,1.000,1.000,0.000,1.000,0.813,ascending
sub_32,26.75,10.68,19.59,57.02,19.01,7,310,238,583,80,Kannada,23,15,1.000,1.000,1.000,0.000,1.000,1.000,ascending
sub_34,19.52,8.71,17.26,45.49,15.16,7,217,222,469,76,Telugu,28,4,1.000,1.000,1.000,0.000,0.875,0.500,ascending
sub_36,22.3,10.6,20.54,53.44,17.81,6,150,249,410,82,Marathi,28,4,1,1,1,0,0.9375,0.313,ascending
sub_38,17.44,9.82,20.05,47.31,15.77,9,211,227,466,70,Telugu,26,7,1.000,1.000,1.000,0.000,1.000,0.875,ascending
sub_40,23.58,14.16,20.54,58.28,19.43,6,125,284,413,74,Telugu,30,6,1.000,1.000,1.000,0.000,0.938,0.813,ascending
sub_42,19.73,11.16,30.22,61.11,20.37,6,120,250,369,80,Tamil,32,4,0.938,1.000,1.000,1.000,1.000,0.875,ascending
sub_44,20.15,11.13,17.97,49.25,16.42,5,181,264,469,84,Kannada,28,3,1.000,1.000,1.000,0.000,0.813,0.563,ascending
sub_46,22.02,12.44,18.79,53.25,17.75,6,200,168,402,74,Turkish,23,9,1.000,1.000,1.000,0.000,1.000,0.813,ascending
sub_48,24.95,15.67,26.03,66.65,22.22,7,92,268,365,56,German,20,10,0.938,1.000,0.938,2.000,0.938,0.500,ascending
sub_50,23.65,14.84,26.27,64.76,21.59,6,76,235,309,72,Chinese,27,3,1.000,1.000,1.000,0.000,0.813,0.813,ascending
sub_52,29.13,9.13,22.86,61.12,20.37,6,205,205,434,88,Hindi,28,6,1.000,1.000,1.000,0.000,0.938,1.000,ascending
sub_54,17.65,9.27,18.57,45.49,15.16,6,114,254,385,94,Malayalam,24,1,1.000,1.000,1.000,0.000,0.938,0.938,ascending
sub_56,22.77,14.77,22.28,59.82,19.94,6,138,250,399,70,Urdu,30,5,0.938,0.938,1.000,2.000,1.000,0.875,ascending
sub_31,20.29,12.47,20.73,53.49,17.83,6,278,271,560,76,Hindi,29,4,1.000,1.000,1.000,0.000,0.938,0.688,descending
sub_33,19.51,10.05,18.13,47.69,15.90,5,264,222,504,88,Bengali,29,5,1.000,1.000,1.000,0.000,0.875,0.813,descending
sub_35,17,10.04,19.14,46.18,15.39,6,234,188,451,80,Tamil,24,3,1.000,1.000,1.000,0.000,1.000,0.938,descending
sub_37,22.39,11.49,20.56,54.44,18.15,5,227,251,503,90,Malayalam,27,5,1.000,1.000,1.000,0.000,0.938,0.688,descending
sub_39,20.97,7.07,20.87,48.91,16.30,6,200,242,457,54,Hindi,27,6,1.000,0.938,1.000,1.000,1.000,0.813,descending
sub_41,18.34,12.64,21.19,52.17,17.39,5,173,219,405,72,French,23,11,0.938,1.000,1.000,1.000,1.000,0.813,descending
sub_43,19.79,11.05,17.37,48.21,16.07,7,225,231,486,80,Marathi,25,5,1.000,1.000,1.000,0.000,1.000,0.938,descending
sub_45,27.21,17.84,29.69,74.74,24.91,8,116,260,378,84,German,25,8,1.000,0.938,0.938,2.000,1.000,0.938,descending
sub_47,27.62,13.1,21.82,62.54,20.85,6,112,271,393,76,German,29,8,1.000,1.000,1.000,0.000,0.938,0.563,descending
sub_49,26.31,12.39,24.87,63.57,21.19,6,200,270,513,82,Bengali,24,3,1.000,1.000,1.000,0.000,0.813,0.313,descending
sub_51,21.88,10.21,19.98,52.07,17.36,7,331,289,589,54,Malayalam,24,19,0.875,1.000,0.938,3.000,0.875,0.750,descending
sub_53,19.55,15.56,17.67,52.78,17.59,5,114,272,392,72,Malayalam,26,5,1.000,1.000,1.000,0.000,0.875,0.438,descending
